k_hot_code,Frequency
11110010111100100000,55
11111010111010101000,55
11111110110000000000,55
11110010111110100000,55
11110101011001110000,55
11110101000001110100,55
11111101011001100000,45
11111111111011100000,45
11110111010011110100,45
11111010001110000000,45
11111110111010001100,45
11110111111110000000,45
11110111111011110001,45
11111001000001000000,45
11111111000000110100,45
11110001000011110000,45
11110111011011110001,45
11111110111111100010,45
11101010111110000000,45
11111110001000000000,45
11111110110100000000,45
10100011000001110000,45
11111111111100100000,45
11111111000101110000,45
11111110111101101000,45
11110101010011110000,45
11111110111110101010,36
11110111110011110000,36
11111010001010000000,36
11111010001000000000,36
11110010000100000000,36
11111101001001100000,36
11110010111010001000,36
11110110111100001000,36
11111101000000110000,36
11111100110100000000,36
11111101010001100000,36
11111110110110000000,36
11111010111101000000,36
11110101010001100000,36
11100001000001000000,36
11110101010011110100,36
11110101011011110000,36
11101010111100001000,36
11111010111100011000,36
11111111011101100000,36
11110111010001100000,36
11111010111110000100,36
11111111011101110000,36
11111110111100000001,36
11111111001100100000,36
11111010011010000010,36
11101010000100000000,36
11111111001001110000,36
11111010111110010000,36
11100011000101110000,36
11111110111000000000,36
11110101011001100000,36
11111101000011100000,28
11111111111101000010,28
11111111000001100000,28
11110111111011100000,28
11110110111100000000,28
11111010111100100010,28
11111110111101010000,28
11111110110100001000,28
11110111000111100000,28
11100001000001100000,28
11110111000111110000,28
11111011111100000000,28
11111000000001000000,28
11110011010001110000,28
11111101000000100100,28
11111100000010000000,28
11110111111111100000,28
11110111000000000000,28
11100011011001110000,28
11111110111110100011,28
01110100000000000000,28
11110111000100110100,28
11111111110101110000,28
11010000000000000000,28
11111010010100000000,28
11110101000101100000,28
10101001000001100000,28
10101100000000000000,28
11111111111010001010,28
11110001000001110000,28
11111101010001110000,28
11111110010000000000,28
11111110111011101010,28
11111110001110000000,28
11111110001100000000,28
11111010011110000010,28
11111110111011101000,28
11111110111100010000,28
11110111111011110100,28
11111111111100100010,28
11111111111100110000,28
11111010111101101000,28
11111111111100111000,28
11111001000001100000,21
11111010111011101000,21
11111010000100001000,21
11110101000011100100,21
11111010111010111000,21
11110011000111110100,21
11110100000001100000,21
11111010111111000010,21
11111010010000000000,21
11111100001000000000,21
11111010111100001001,21
11110110000010000000,21
11111100000001000000,21
11111010011010001000,21
11110101000000110100,21
11110011010011110000,21
11110101001001100000,21
11110101001001110000,21
11110101010001110000,21
11111110011010000000,21
11110111111101100000,21
11111110111110001011,21
11111111111101100010,21
11111111111011100001,21
11111111110101100000,21
11110001000001100000,21
11110111001100111000,21
11111110111110010000,21
11100011010011110000,21
11101010111100100000,21
10100001000001110000,21
11111111111111100010,21
11110010011110000000,21
11110111001000110100,21
11111110111100110010,21
11111101000001100100,21
11111111111100011000,21
11111110110110001010,21
11111111010001100000,21
11110111011100111000,21
11110111011001100000,21
11111101000000110100,21
11111111111111110000,21
11111111001100110000,21
11111111111110000011,21
11111110111010011000,21
01010010000100000000,21
11111110111010111010,15
11101010111110100000,15
11110111011011100000,15
11111110111011001000,15
11111010000100100000,15
11111110111010100000,15
11101010001100000000,15
