F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,id
True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,2536
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,2705
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,2734
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,2813
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,2823
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,2828
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,3177
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,3185
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,3196
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,3224
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,3461
True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,3593
True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,3634
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,3786
True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,False,False,False,True,3833
True,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,False,True,False,3961
True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,4119
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,4178
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,4331
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,4502
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,4595
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,4627
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,4698
True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,4717
True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,4805
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,4806
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,4861
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,4895
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,4948
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,5028
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,5082
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,5094
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,5108
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,5120
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,5162
True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,5205
True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True,5270
True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,5282
True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,5354
True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,True,5365
True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,5382
True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,5554
True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False,False,False,True,5564
True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,5608
True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,5672
True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,5679
True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,5767
True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,5834
True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,6458
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,6569
True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,False,True,False,6676
True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,6695
